"samples"	"PC1"	"PC2"	"PC3"
"250317_PMA_DDA_HILIC_Sample_A1_3_Pos_nr8.mzML"	-0.248533445085603	0.336613393926254	-0.178209862232523
"250317_PMA_DDA_HILIC_Sample_A2_Pos_nr8.mzML"	-0.223785124230821	0.31859248391634	-0.0653116673253578
"250317_PMA_DDA_HILIC_Sample_A3_Pos_nr8.mzML"	-0.231102750490279	0.379105983452381	0.0201411278678783
"250317_PMA_DDA_HILIC_Sample_A4_Pos_nr8.mzML"	-0.13635976776703	0.428286202060276	0.0686783039818584
"250317_PMA_DDA_HILIC_Sample_B1_Pos_nr8.mzML"	-0.0663329517399289	-0.482516326746067	-0.481841150605944
"250317_PMA_DDA_HILIC_Sample_B2_Pos_nr8.mzML"	-0.158570859121644	-0.468046957690836	-0.176522231964098
"250317_PMA_DDA_HILIC_Sample_B3_Pos_nr8.mzML"	-0.174117165274228	-0.0694419191588225	-0.142354990451067
"250317_PMA_DDA_HILIC_Sample_B4_Pos_nr8.mzML"	-0.196605358528757	0.0826854621297912	-0.442598816145259
"250317_PMA_DDA_HILIC_Sample_C1_Pos_nr8.mzML"	-0.125688226604074	-0.252572001273873	0.315836448295902
"250317_PMA_DDA_HILIC_Sample_C2_Pos_nr8.mzML"	-0.159882414955724	-0.123451718118544	0.309308353513375
"250317_PMA_DDA_HILIC_Sample_C3_Pos_nr8.mzML"	-0.180544431547223	-0.135254903726197	0.301940979133047
"250317_PMA_DDA_HILIC_Sample_C4_Pos_nr8.mzML"	-0.151262623068903	-0.0353631665863447	0.204389612482423
"250317_PMA_DDA_HILIC_Sample_D1_Pos_nr8.mzML"	0.188517484388375	-0.109702746015921	0.197743845079398
"250317_PMA_DDA_HILIC_Sample_D2_Pos_nr8.mzML"	0.338348612911362	-0.093646317321218	0.311495798053773
"250317_PMA_DDA_HILIC_Sample_D3_Pos_nr8.mzML"	0.787590311501342	0.0834720181645817	-0.112606566297211
"250317_PMA_DDA_HILIC_Sample_D4_Pos_nr8.mzML"	0.738328709613136	0.141240512988199	-0.13008918338619
