"attribute_group"	"filename"	"sample_id"	"sample_type"	"source_taxon"	"source_taxon_qid"
"A"	"250317_PMA_DDA_HILIC_Sample_A1_3_Pos_nr8.mzML"	"Sample_A1_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"A"	"250317_PMA_DDA_HILIC_Sample_A2_Pos_nr8.mzML"	"Sample_A2_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"A"	"250317_PMA_DDA_HILIC_Sample_A3_Pos_nr8.mzML"	"Sample_A3_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"A"	"250317_PMA_DDA_HILIC_Sample_A4_Pos_nr8.mzML"	"Sample_A4_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"B"	"250317_PMA_DDA_HILIC_Sample_B1_Pos_nr8.mzML"	"Sample_B1_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"B"	"250317_PMA_DDA_HILIC_Sample_B2_Pos_nr8.mzML"	"Sample_B2_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"B"	"250317_PMA_DDA_HILIC_Sample_B3_Pos_nr8.mzML"	"Sample_B3_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"B"	"250317_PMA_DDA_HILIC_Sample_B4_Pos_nr8.mzML"	"Sample_B4_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"C"	"250317_PMA_DDA_HILIC_Sample_C1_Pos_nr8.mzML"	"Sample_C1_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"C"	"250317_PMA_DDA_HILIC_Sample_C2_Pos_nr8.mzML"	"Sample_C2_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"C"	"250317_PMA_DDA_HILIC_Sample_C3_Pos_nr8.mzML"	"Sample_C3_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"C"	"250317_PMA_DDA_HILIC_Sample_C4_Pos_nr8.mzML"	"Sample_C4_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"D"	"250317_PMA_DDA_HILIC_Sample_D1_Pos_nr8.mzML"	"Sample_D1_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"D"	"250317_PMA_DDA_HILIC_Sample_D2_Pos_nr8.mzML"	"Sample_D2_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"D"	"250317_PMA_DDA_HILIC_Sample_D3_Pos_nr8.mzML"	"Sample_D3_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
"D"	"250317_PMA_DDA_HILIC_Sample_D4_Pos_nr8.mzML"	"Sample_D4_Pos"	"sample"	"Drosophila melanogaster"	"Q130888"
